${HOME}|.zshrc .p10k.zsh|zsh oh-my-zsh-git zsh-theme-powerlevel10k-git zsh-syntax-highlighting-git zsh-autosuggestions-git pokemon-colorscripts-git
${HOME}/.config|dunst|dunst
${HOME}/.config|hypr|hyprland
${HOME}/.config|kitty|kitty
${HOME}/.config|Kvantum|kvantum
${HOME}/.config|MangoHud|mangohud
${HOME}/.config|neofetch|neofetch
${HOME}/.config|nwg-look|nwg-look
${HOME}/.config|qt5ct|qt5ct
${HOME}/.config|rofi|rofi
${HOME}/.config|swaylock|swaylock-effects
${HOME}/.config|swww|swww
${HOME}/.config|waybar|waybar-hyprland-git
${HOME}/.config|wlogout|wlogout
